date,food_price_index
2007-01-01,0.0104999999999999
2007-02-01,0.0104999999999999
2007-03-01,0.0104999999999999
2007-04-01,0.01075
2007-05-01,0.01075
2007-06-01,0.01075
2007-07-01,0.01075
2007-08-01,0.01075
2007-09-01,0.012
2007-10-01,0.011
2007-11-01,0.01275
2007-12-01,0.013
2008-01-01,0.01225
2008-02-01,0.01225
2008-03-01,0.01275
2008-04-01,0.01325
2008-05-01,0.0144999999999999
2008-06-01,0.0144999999999999
2008-07-01,0.01575
2008-08-01,0.01925
2008-09-01,0.02
2008-10-01,0.01575
2008-11-01,0.015
2008-12-01,0.0175
2009-01-01,0.019
2009-02-01,0.018
2009-03-01,0.014
2009-04-01,0.0144999999999999
2009-05-01,0.01875
2009-06-01,0.0185
2009-07-01,0.0212499999999999
2009-08-01,0.02175
2009-09-01,0.0215
2009-10-01,0.0207499999999999
2009-11-01,0.02025
2009-12-01,0.0207499999999999
2010-01-01,0.0209999999999999
2010-02-01,0.0215
2010-03-01,0.0212499999999999
2010-04-01,0.02175
2010-05-01,0.02175
2010-06-01,0.0209999999999999
2010-07-01,0.02175
2010-08-01,0.0215
2010-09-01,0.02225
2010-10-01,0.0245
2010-11-01,0.02475
2010-12-01,0.025
2011-01-01,0.02725
2011-02-01,0.0255
2011-03-01,0.02375
2011-04-01,0.024
2011-05-01,0.02525
2011-06-01,0.0292499999999999
2011-07-01,0.03075
2011-08-01,0.0342499999999999
2011-09-01,0.03575
2011-10-01,0.03725
2011-11-01,0.038
2011-12-01,0.03775
2012-01-01,0.0412499999999999
2012-02-01,0.03725
2012-03-01,0.039
2012-04-01,0.03875
2012-05-01,0.045
2012-06-01,0.043
2012-07-01,0.0375
2012-08-01,0.0417499999999999
2012-09-01,0.0417499999999999
2012-10-01,0.044
2012-11-01,0.0424999999999999
2012-12-01,0.04325
2013-01-01,0.041
2013-02-01,0.038
2013-03-01,0.03725
2013-04-01,0.04
2013-05-01,0.041
2013-06-01,0.0424999999999999
2013-07-01,0.03975
2013-08-01,0.0424999999999999
2013-09-01,0.041
2013-10-01,0.03975
2013-11-01,0.0405
2013-12-01,0.04075
2014-01-01,0.044
2014-02-01,0.0375
2014-03-01,0.036
2014-04-01,0.03525
2014-05-01,0.0339999999999999
2014-06-01,0.0349999999999999
2014-07-01,0.0347499999999999
2014-08-01,0.038
2014-09-01,0.0375
2014-10-01,0.03825
2014-11-01,0.04125
2014-12-01,0.0417499999999999
2015-01-01,0.044
2015-02-01,0.047
2015-03-01,0.0485
2015-04-01,0.056
2015-05-01,0.0615
2015-06-01,0.0695
2015-07-01,0.0715
2015-08-01,0.07625
2015-09-01,0.0825
2015-10-01,0.092
2015-11-01,0.0995
2015-12-01,0.1087499999999999
2016-01-01,0.12725
2016-02-01,0.1505
2016-03-01,0.17475
2016-04-01,0.1735
2016-05-01,0.19275
2016-06-01,0.2274999999999999
2016-07-01,0.2815
2016-08-01,0.353
2016-09-01,0.3825
2016-10-01,0.388
2016-11-01,0.4247499999999999
2016-12-01,0.469
2017-01-01,0.50075
2017-02-01,0.53525
2017-03-01,0.61875
2017-04-01,0.72875
2017-05-01,0.7729999999999999
2017-06-01,0.8975
2017-07-01,0.9315
2017-08-01,0.99575
2017-09-01,0.97425
2017-10-01,0.97325
2017-11-01,0.9625
2017-12-01,0.99325
2018-01-01,0.99975
2018-02-01,1.1685
2018-03-01,1.2255
2018-04-01,1.3155
2018-05-01,1.47175
2018-06-01,1.59
2018-07-01,1.4217499999999998
2018-08-01,1.30725
2018-09-01,1.282
2018-10-01,1.21575
2018-11-01,1.242
2018-12-01,1.24525
2019-01-01,1.2965
2019-02-01,1.35425
2019-03-01,1.417
2019-04-01,1.474
2019-05-01,1.5045
2019-06-01,1.58575
2019-07-01,1.64525
2019-08-01,1.65075
2019-09-01,1.6622499999999998
2019-10-01,1.66925
2019-11-01,1.68325
2019-12-01,1.691
2020-01-01,1.70825
2020-02-01,1.686
2020-03-01,1.7135000000000002
2020-04-01,1.7747499999999998
2020-05-01,1.8010000000000002
2020-06-01,1.85025
2020-07-01,1.98625
2020-08-01,2.0787500000000003
2020-09-01,2.35225
2020-10-01,2.4892499999999997
2020-11-01,2.634
2020-12-01,2.77125
2021-01-01,2.86775
2021-02-01,2.92475
2021-03-01,3.03275
2021-04-01,3.11575
2021-05-01,2.9985
2021-06-01,2.81675
